artist,song_title
Fast Boy & Topic,Forget You
Pashanim,Sommergewitter
Jonas Blue & Felix Jaehn,Weekends
Macklemore & Ryan Lewis & Macklemore & Ryan Lewis & Macklemore...,Can'T Hold Us
Jax Jones & Calum Scott,Whistle
Nina Chuba & Chapo102,Ich Hass Dich
Raf Camora & Luciano,All Night
Matt Sassari,Give It To Me
Hava & Dardan,Normal
Yung Yury & Lena & Niklas Dee & Luca-Dante Spadafora & Damn...,Tabu Rmx
Manu Chao,Me Gustas Tu
Milky Chance,Living In A Haze
Lea & 01099 & Gustav & Zachi,Aperol Im Glas
Montez & Sdp,Fieber
Peggy Gou,(It Goes Like) Nanana
Vize & Joris Sava & July,Ghost Town
Honk & Isi Glück,Delfin
The Weeknd & Ariana Grande,Save Your Tears
Libianca,People
Nathan Evans,Wellerman
Troye Sivan,Rush
Ed Sheeran,Eyes Closed
James Hype & Miggy Dela Rosa,Ferrari
"Blueface,Jaidyn Alexis",Post Opp
Cam’Ron,Go & Get It
Busta Rhymes,Luxury Life
Dababy,Peaches & Eggplants (Freestyle)
Young Nudy,Peaches & Eggplants [Remix]
Dababy,Deli Freestyle
Joyner Lucas,Seventeen
Bryson Tiller,Down Like That
Kid Cudi,Ill What I Bleed/Most Ain'T Dennis
Cardi B,Bongos
Glorilla,Wrong One
Killer Mike,Maynard Vignette
Icewear Vezzo,Perfect
Ransom,Scape Goats
Sampha,Only
Tee Grizzley,Idgaf
A.R. The Mermaid,Watt We Doingg
Lil Wayne,Kat Food
Nle Choppa,College Girls
Flyana Boss,You Wish (With Missy Elliott & Kaliii) - Remix
