danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,track_name
0.505,0.833,7,-7.815,1,0.35,0.103,0.0539,0.612,0.138,164.934,audio_features,5E3BK90EQQxmrDz3zLG2l9,spotify:track:5E3BK90EQQxmrDz3zLG2l9,https://api.spotify.com/v1/tracks/5E3BK90EQQxmrDz3zLG2l9,https://api.spotify.com/v1/audio-analysis/5E3BK90EQQxmrDz3zLG2l9,120840,4,Baby B3ns,Schmetterling
0.615,0.744,7,-7.706,1,0.163,0.404,0.0,0.0906,0.357,131.837,audio_features,6W9qtw3ddhkYznaOxB50p8,spotify:track:6W9qtw3ddhkYznaOxB50p8,https://api.spotify.com/v1/tracks/6W9qtw3ddhkYznaOxB50p8,https://api.spotify.com/v1/audio-analysis/6W9qtw3ddhkYznaOxB50p8,152793,4,Lost Frequencies,The Feeling
0.837,0.944,0,-6.516,1,0.352,0.108,8.46e-05,0.107,0.681,169.975,audio_features,7AOJcugo17Kr1WUheSI6Oq,spotify:track:7AOJcugo17Kr1WUheSI6Oq,https://api.spotify.com/v1/tracks/7AOJcugo17Kr1WUheSI6Oq,https://api.spotify.com/v1/audio-analysis/7AOJcugo17Kr1WUheSI6Oq,157059,4,Luca-Dante Spadafora,Mädchen auf dem Pferd
0.732,0.976,5,-5.305,1,0.045,0.0299,8.38e-05,0.25,0.523,144.985,audio_features,0JZ1ABjN8q7TNwMP39NjvU,spotify:track:0JZ1ABjN8q7TNwMP39NjvU,https://api.spotify.com/v1/tracks/0JZ1ABjN8q7TNwMP39NjvU,https://api.spotify.com/v1/audio-analysis/0JZ1ABjN8q7TNwMP39NjvU,163034,4,Niklas Dee,Not Fair
0.545,0.779,3,-6.235,0,0.0751,0.243,1.66e-06,0.123,0.303,150.002,audio_features,1DmW5Ep6ywYwxc2HMT5BG6,spotify:track:1DmW5Ep6ywYwxc2HMT5BG6,https://api.spotify.com/v1/tracks/1DmW5Ep6ywYwxc2HMT5BG6,https://api.spotify.com/v1/audio-analysis/1DmW5Ep6ywYwxc2HMT5BG6,183375,4,Loreen,Tattoo
0.726,0.853,9,-8.442,1,0.347,0.161,2.91e-05,0.0762,0.32,169.957,audio_features,0SGtCOR4G9fx9PQq9shKkw,spotify:track:0SGtCOR4G9fx9PQq9shKkw,https://api.spotify.com/v1/tracks/0SGtCOR4G9fx9PQq9shKkw,https://api.spotify.com/v1/audio-analysis/0SGtCOR4G9fx9PQq9shKkw,155671,4,Ski Aggu,Theater★
0.616,0.676,5,-7.667,0,0.301,0.612,1.55e-06,0.135,0.566,150.009,audio_features,5exlcLrnyW9DEmLCjke1Wv,spotify:track:5exlcLrnyW9DEmLCjke1Wv,https://api.spotify.com/v1/tracks/5exlcLrnyW9DEmLCjke1Wv,https://api.spotify.com/v1/audio-analysis/5exlcLrnyW9DEmLCjke1Wv,197619,4,CRO,nie wieder normal
0.699,0.54,5,-8.432,0,0.245,0.571,0.00061,0.0976,0.548,176.91,audio_features,0BxwNmVneOi0XkSbvwdk6Z,spotify:track:0BxwNmVneOi0XkSbvwdk6Z,https://api.spotify.com/v1/tracks/0BxwNmVneOi0XkSbvwdk6Z,https://api.spotify.com/v1/audio-analysis/0BxwNmVneOi0XkSbvwdk6Z,150369,4,Montez,Herzfeind - Titelsong zum Film „Trauzeugen“
0.546,0.846,5,-5.719,1,0.181,0.0135,0.0,0.607,0.74,162.043,audio_features,2gyxAWHebV7xPYVxqoi86f,spotify:track:2gyxAWHebV7xPYVxqoi86f,https://api.spotify.com/v1/tracks/2gyxAWHebV7xPYVxqoi86f,https://api.spotify.com/v1/audio-analysis/2gyxAWHebV7xPYVxqoi86f,211141,4,Olivia Rodrigo,get him back!
0.474,0.936,7,-2.328,0,0.0763,0.00229,2.53e-06,0.181,0.392,139.933,audio_features,3tNMdL4qjzNHfo7rlVMESK,spotify:track:3tNMdL4qjzNHfo7rlVMESK,https://api.spotify.com/v1/tracks/3tNMdL4qjzNHfo7rlVMESK,https://api.spotify.com/v1/audio-analysis/3tNMdL4qjzNHfo7rlVMESK,167277,4,Måneskin,HONEY (ARE U COMING?)
0.665,0.562,5,-7.119,1,0.038,0.227,0.0,0.313,0.426,93.974,audio_features,5MOQEkTya2UEh5N2pHiYf6,spotify:track:5MOQEkTya2UEh5N2pHiYf6,https://api.spotify.com/v1/tracks/5MOQEkTya2UEh5N2pHiYf6,https://api.spotify.com/v1/audio-analysis/5MOQEkTya2UEh5N2pHiYf6,164840,4,BECKS,June
0.774,0.7,1,-7.334,1,0.266,0.163,3.24e-05,0.169,0.624,81.99,audio_features,3ilgxZl5g7MOQCUiky3VOG,spotify:track:3ilgxZl5g7MOQCUiky3VOG,https://api.spotify.com/v1/tracks/3ilgxZl5g7MOQCUiky3VOG,https://api.spotify.com/v1/audio-analysis/3ilgxZl5g7MOQCUiky3VOG,147587,4,Pashanim,Ms. Jackson
0.549,0.869,6,-6.658,1,0.323,0.0355,0.000223,0.105,0.511,155.116,audio_features,7MCNurIGh8Hg9SYaCPP9vv,spotify:track:7MCNurIGh8Hg9SYaCPP9vv,https://api.spotify.com/v1/tracks/7MCNurIGh8Hg9SYaCPP9vv,https://api.spotify.com/v1/audio-analysis/7MCNurIGh8Hg9SYaCPP9vv,156387,4,SDP,Ich will nur dass du weißt - IIVEN Remix
0.735,0.806,2,-8.495,0,0.0678,0.253,0.000122,0.317,0.764,147.937,audio_features,1CknK1sYAhoYxZEs5OfqEq,spotify:track:1CknK1sYAhoYxZEs5OfqEq,https://api.spotify.com/v1/tracks/1CknK1sYAhoYxZEs5OfqEq,https://api.spotify.com/v1/audio-analysis/1CknK1sYAhoYxZEs5OfqEq,141026,4,Ski Aggu,mietfrei
