danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,audio_features,4rXLjWdF2ZZpXCVTfWcshS,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/tracks/4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/audio-analysis/4rXLjWdF2ZZpXCVTfWcshS,125040,4
0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,audio_features,1Qrg8KqiBpW07V7PNxwwwL,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,153947,4
0.726,0.738,0,-4.788,1,0.355,0.0791,0.0,0.0297,0.896,121.953,audio_features,4YQImHflXSiIMXntcwPkx8,spotify:track:4YQImHflXSiIMXntcwPkx8,https://api.spotify.com/v1/tracks/4YQImHflXSiIMXntcwPkx8,https://api.spotify.com/v1/audio-analysis/4YQImHflXSiIMXntcwPkx8,175099,4
0.708,0.737,1,-4.045,1,0.0436,0.0739,0.00162,0.0955,0.607,91.986,audio_features,7ABLbnD53cQK00mhcaOUVG,spotify:track:7ABLbnD53cQK00mhcaOUVG,https://api.spotify.com/v1/tracks/7ABLbnD53cQK00mhcaOUVG,https://api.spotify.com/v1/audio-analysis/7ABLbnD53cQK00mhcaOUVG,197920,4
0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,audio_features,4DHcnVTT87F0zZhRPYmZ3B,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,https://api.spotify.com/v1/tracks/4DHcnVTT87F0zZhRPYmZ3B,https://api.spotify.com/v1/audio-analysis/4DHcnVTT87F0zZhRPYmZ3B,200455,4
0.511,0.532,5,-5.745,1,0.0578,0.177,0.0,0.291,0.35,138.005,audio_features,1kuGVB7EU95pJObxwvfwKS,spotify:track:1kuGVB7EU95pJObxwvfwKS,https://api.spotify.com/v1/tracks/1kuGVB7EU95pJObxwvfwKS,https://api.spotify.com/v1/audio-analysis/1kuGVB7EU95pJObxwvfwKS,219724,4
0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,audio_features,1odExI7RdWc4BT515LTAwj,spotify:track:1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/tracks/1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/audio-analysis/1odExI7RdWc4BT515LTAwj,212954,4
0.652,0.8,9,-4.019,0,0.0614,0.143,0.629,0.112,0.234,143.978,audio_features,7ro0hRteUMfnOioTFI5TG1,spotify:track:7ro0hRteUMfnOioTFI5TG1,https://api.spotify.com/v1/tracks/7ro0hRteUMfnOioTFI5TG1,https://api.spotify.com/v1/audio-analysis/7ro0hRteUMfnOioTFI5TG1,231704,4
0.671,0.876,7,-5.681,0,0.0352,0.12,0.188,0.0823,0.964,129.998,audio_features,23RoR84KodL5HWvUTneQ1w,spotify:track:23RoR84KodL5HWvUTneQ1w,https://api.spotify.com/v1/tracks/23RoR84KodL5HWvUTneQ1w,https://api.spotify.com/v1/audio-analysis/23RoR84KodL5HWvUTneQ1w,231545,4
0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,4Dvkj6JhhA12EX05fT7y2e,spotify:track:4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/tracks/4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/audio-analysis/4Dvkj6JhhA12EX05fT7y2e,167303,4
0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,audio_features,4iZ4pt7kvcaH6Yo8UoZ4s2,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/tracks/4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/audio-analysis/4iZ4pt7kvcaH6Yo8UoZ4s2,201800,4
0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,audio_features,6AQbmUe0Qwf5PZnt4HmTXv,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,https://api.spotify.com/v1/tracks/6AQbmUe0Qwf5PZnt4HmTXv,https://api.spotify.com/v1/audio-analysis/6AQbmUe0Qwf5PZnt4HmTXv,131013,4
0.715,0.62,1,-6.005,0,0.0484,0.417,0.0,0.0822,0.172,97.95,audio_features,2dHHgzDwk4BJdRwy9uXhTO,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/tracks/2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/audio-analysis/2dHHgzDwk4BJdRwy9uXhTO,221520,4
0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944,audio_features,3BKD1PwArikchz2Zrlp1qi,spotify:track:3BKD1PwArikchz2Zrlp1qi,https://api.spotify.com/v1/tracks/3BKD1PwArikchz2Zrlp1qi,https://api.spotify.com/v1/audio-analysis/3BKD1PwArikchz2Zrlp1qi,140018,4
0.668,0.712,5,-5.927,1,0.0381,0.369,2.13e-05,0.108,0.264,100.02,audio_features,6XbtvPmIpyCbjuT0e8cQtp,spotify:track:6XbtvPmIpyCbjuT0e8cQtp,https://api.spotify.com/v1/tracks/6XbtvPmIpyCbjuT0e8cQtp,https://api.spotify.com/v1/audio-analysis/6XbtvPmIpyCbjuT0e8cQtp,186000,4
0.783,0.592,11,-8.332,0,0.0331,0.435,4.15e-06,0.347,0.726,120.018,audio_features,7FbrGaHYVDmfr7KoLIZnQ7,spotify:track:7FbrGaHYVDmfr7KoLIZnQ7,https://api.spotify.com/v1/tracks/7FbrGaHYVDmfr7KoLIZnQ7,https://api.spotify.com/v1/audio-analysis/7FbrGaHYVDmfr7KoLIZnQ7,174253,4
0.74,0.758,1,-5.851,0,0.0921,0.061,1.44e-06,0.0967,0.757,171.925,audio_features,73RbfOTJIjHzi2pcVHjeHM,spotify:track:73RbfOTJIjHzi2pcVHjeHM,https://api.spotify.com/v1/tracks/73RbfOTJIjHzi2pcVHjeHM,https://api.spotify.com/v1/audio-analysis/73RbfOTJIjHzi2pcVHjeHM,189825,4
0.652,0.879,0,-6.405,1,0.0784,0.00284,0.0896,0.0918,0.789,173.925,audio_features,5VxmI3IdgAxWVvUnJoLuY2,spotify:track:5VxmI3IdgAxWVvUnJoLuY2,https://api.spotify.com/v1/tracks/5VxmI3IdgAxWVvUnJoLuY2,https://api.spotify.com/v1/audio-analysis/5VxmI3IdgAxWVvUnJoLuY2,117810,4
0.638,0.717,8,-5.804,1,0.0375,0.001,1.79e-06,0.113,0.422,141.904,audio_features,59NraMJsLaMCVtwXTSia8i,spotify:track:59NraMJsLaMCVtwXTSia8i,https://api.spotify.com/v1/tracks/59NraMJsLaMCVtwXTSia8i,https://api.spotify.com/v1/audio-analysis/59NraMJsLaMCVtwXTSia8i,132359,4
0.557,0.774,7,-5.275,0,0.351,0.012,0.0,0.396,0.397,111.975,audio_features,67nepsnrcZkowTxMWigSbb,spotify:track:67nepsnrcZkowTxMWigSbb,https://api.spotify.com/v1/tracks/67nepsnrcZkowTxMWigSbb,https://api.spotify.com/v1/audio-analysis/67nepsnrcZkowTxMWigSbb,246134,4
0.639,0.723,7,-6.462,0,0.0532,0.511,0.0,0.167,0.878,136.872,audio_features,2i2gDpKKWjvnRTOZRhaPh2,spotify:track:2i2gDpKKWjvnRTOZRhaPh2,https://api.spotify.com/v1/tracks/2i2gDpKKWjvnRTOZRhaPh2,https://api.spotify.com/v1/audio-analysis/2i2gDpKKWjvnRTOZRhaPh2,187558,4
0.633,0.607,0,-6.182,0,0.0532,0.183,1.38e-06,0.167,0.363,74.029,audio_features,2N0SPREDYqILVEFSsWF5N5,spotify:track:2N0SPREDYqILVEFSsWF5N5,https://api.spotify.com/v1/tracks/2N0SPREDYqILVEFSsWF5N5,https://api.spotify.com/v1/audio-analysis/2N0SPREDYqILVEFSsWF5N5,182293,4
0.712,0.603,8,-5.52,1,0.0262,0.186,0.0,0.115,0.67,97.994,audio_features,1Lo0QY9cvc8sUB2vnIOxDT,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/tracks/1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/audio-analysis/1Lo0QY9cvc8sUB2vnIOxDT,265493,4
0.842,0.756,7,-7.409,0,0.338,0.525,2.21e-06,0.0871,0.421,169.925,audio_features,3XB5uhhlYSnkxpSihkNQwh,spotify:track:3XB5uhhlYSnkxpSihkNQwh,https://api.spotify.com/v1/tracks/3XB5uhhlYSnkxpSihkNQwh,https://api.spotify.com/v1/audio-analysis/3XB5uhhlYSnkxpSihkNQwh,172798,4
0.74,0.697,8,-4.912,1,0.034,0.0268,0.0,0.224,0.732,138.992,audio_features,6dgUya35uo964z7GZXM07g,spotify:track:6dgUya35uo964z7GZXM07g,https://api.spotify.com/v1/tracks/6dgUya35uo964z7GZXM07g,https://api.spotify.com/v1/audio-analysis/6dgUya35uo964z7GZXM07g,163648,4
0.916,0.583,1,-8.067,1,0.241,0.186,0.0,0.0798,0.661,141.095,audio_features,2FDTHlrBguDzQkp7PVj16Q,spotify:track:2FDTHlrBguDzQkp7PVj16Q,https://api.spotify.com/v1/tracks/2FDTHlrBguDzQkp7PVj16Q,https://api.spotify.com/v1/audio-analysis/2FDTHlrBguDzQkp7PVj16Q,226383,4
0.821,0.341,8,-5.915,1,0.281,8.73e-05,0.00746,0.18,0.344,139.885,audio_features,1xemKSmCnH59ze3KX5wwgH,spotify:track:1xemKSmCnH59ze3KX5wwgH,https://api.spotify.com/v1/tracks/1xemKSmCnH59ze3KX5wwgH,https://api.spotify.com/v1/audio-analysis/1xemKSmCnH59ze3KX5wwgH,196653,4
0.742,0.839,5,-7.614,0,0.0618,0.00306,4.2e-05,0.106,0.346,126.03,audio_features,3xIMkM5LgbVDkpO74O3Np3,spotify:track:3xIMkM5LgbVDkpO74O3Np3,https://api.spotify.com/v1/tracks/3xIMkM5LgbVDkpO74O3Np3,https://api.spotify.com/v1/audio-analysis/3xIMkM5LgbVDkpO74O3Np3,156391,4
0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19,audio_features,1Y3LN4zO1Edc2EluIoSPJN,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/tracks/1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/audio-analysis/1Y3LN4zO1Edc2EluIoSPJN,176440,3
0.49,0.352,6,-11.577,0,0.0254,0.709,0.0856,0.114,0.166,99.992,audio_features,6GGtHZgBycCgGBUhZo81xe,spotify:track:6GGtHZgBycCgGBUhZo81xe,https://api.spotify.com/v1/tracks/6GGtHZgBycCgGBUhZo81xe,https://api.spotify.com/v1/audio-analysis/6GGtHZgBycCgGBUhZo81xe,209156,4
0.642,0.62,8,-7.091,1,0.0666,0.0734,0.0,0.483,0.0969,90.02,audio_features,7KokYm8cMIXCsGVmUvKtqf,spotify:track:7KokYm8cMIXCsGVmUvKtqf,https://api.spotify.com/v1/tracks/7KokYm8cMIXCsGVmUvKtqf,https://api.spotify.com/v1/audio-analysis/7KokYm8cMIXCsGVmUvKtqf,204852,4
0.571,0.458,4,-9.283,1,0.0258,0.544,9.27e-05,0.123,0.299,132.025,audio_features,5LrN7yUQAzvthd4QujgPFr,spotify:track:5LrN7yUQAzvthd4QujgPFr,https://api.spotify.com/v1/tracks/5LrN7yUQAzvthd4QujgPFr,https://api.spotify.com/v1/audio-analysis/5LrN7yUQAzvthd4QujgPFr,242485,4
0.517,0.675,6,-5.382,1,0.0357,0.459,0.0,0.151,0.518,203.853,audio_features,59uQI0PADDKeE6UZDTJEe8,spotify:track:59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/tracks/59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/audio-analysis/59uQI0PADDKeE6UZDTJEe8,163855,4
0.664,0.405,1,-7.413,1,0.08,0.877,0.000765,0.11,0.743,81.89,audio_features,1Ukxccao1BlWrPhYkcXbwZ,spotify:track:1Ukxccao1BlWrPhYkcXbwZ,https://api.spotify.com/v1/tracks/1Ukxccao1BlWrPhYkcXbwZ,https://api.spotify.com/v1/audio-analysis/1Ukxccao1BlWrPhYkcXbwZ,169573,3
0.557,0.774,7,-5.275,0,0.351,0.012,0.0,0.396,0.397,111.975,audio_features,67nepsnrcZkowTxMWigSbb,spotify:track:67nepsnrcZkowTxMWigSbb,https://api.spotify.com/v1/tracks/67nepsnrcZkowTxMWigSbb,https://api.spotify.com/v1/audio-analysis/67nepsnrcZkowTxMWigSbb,246134,4
0.736,0.645,1,-5.195,1,0.0807,0.0724,0.00086,0.136,0.201,132.024,audio_features,4367dXCt02KMgELPisJ2D4,spotify:track:4367dXCt02KMgELPisJ2D4,https://api.spotify.com/v1/tracks/4367dXCt02KMgELPisJ2D4,https://api.spotify.com/v1/audio-analysis/4367dXCt02KMgELPisJ2D4,188870,3
0.615,0.632,1,-8.539,1,0.292,0.108,0.0,0.129,0.194,150.126,audio_features,1L0OmJV0LnPDWuHCIGmBV6,spotify:track:1L0OmJV0LnPDWuHCIGmBV6,https://api.spotify.com/v1/tracks/1L0OmJV0LnPDWuHCIGmBV6,https://api.spotify.com/v1/audio-analysis/1L0OmJV0LnPDWuHCIGmBV6,275281,4
0.726,0.738,0,-4.788,1,0.355,0.0791,0.0,0.0297,0.896,121.953,audio_features,4YQImHflXSiIMXntcwPkx8,spotify:track:4YQImHflXSiIMXntcwPkx8,https://api.spotify.com/v1/tracks/4YQImHflXSiIMXntcwPkx8,https://api.spotify.com/v1/audio-analysis/4YQImHflXSiIMXntcwPkx8,175099,4
0.868,0.538,5,-8.603,1,0.174,0.269,3.34e-06,0.0901,0.732,99.968,audio_features,2IGMVunIBsBLtEQyoI1Mu7,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/tracks/2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/audio-analysis/2IGMVunIBsBLtEQyoI1Mu7,231750,4
0.869,0.557,11,-7.112,0,0.384,0.577,0.0,0.139,0.629,124.927,audio_features,7LTCmtMpf3JPfBE8gAl64z,spotify:track:7LTCmtMpf3JPfBE8gAl64z,https://api.spotify.com/v1/tracks/7LTCmtMpf3JPfBE8gAl64z,https://api.spotify.com/v1/audio-analysis/7LTCmtMpf3JPfBE8gAl64z,230836,4
0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,audio_features,4rXLjWdF2ZZpXCVTfWcshS,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/tracks/4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/audio-analysis/4rXLjWdF2ZZpXCVTfWcshS,125040,4
0.908,0.561,4,-7.683,0,0.301,0.00933,0.0,0.111,0.559,146.018,audio_features,1BmI4EYdfzbg8DlV6pHYrY,spotify:track:1BmI4EYdfzbg8DlV6pHYrY,https://api.spotify.com/v1/tracks/1BmI4EYdfzbg8DlV6pHYrY,https://api.spotify.com/v1/audio-analysis/1BmI4EYdfzbg8DlV6pHYrY,217213,4
0.874,0.202,1,-16.814,1,0.798,0.0728,0.0,0.14,0.3,134.989,audio_features,7AtQxohgEu5dRYdcY4gB6G,spotify:track:7AtQxohgEu5dRYdcY4gB6G,https://api.spotify.com/v1/tracks/7AtQxohgEu5dRYdcY4gB6G,https://api.spotify.com/v1/audio-analysis/7AtQxohgEu5dRYdcY4gB6G,142740,4
0.752,0.643,7,-5.561,1,0.458,0.142,0.0,0.0889,0.805,175.988,audio_features,6WYo4HDHHvMJZU1lNebB3V,spotify:track:6WYo4HDHHvMJZU1lNebB3V,https://api.spotify.com/v1/tracks/6WYo4HDHHvMJZU1lNebB3V,https://api.spotify.com/v1/audio-analysis/6WYo4HDHHvMJZU1lNebB3V,286579,4
0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,audio_features,42VsgItocQwOQC3XWZ8JNA,spotify:track:42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/tracks/42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/audio-analysis/42VsgItocQwOQC3XWZ8JNA,191701,4
0.64,0.609,1,-7.714,0,0.304,0.492,2.47e-06,0.152,0.393,131.889,audio_features,4daEMLSZCgZ2Mt7gNm2SRa,spotify:track:4daEMLSZCgZ2Mt7gNm2SRa,https://api.spotify.com/v1/tracks/4daEMLSZCgZ2Mt7gNm2SRa,https://api.spotify.com/v1/audio-analysis/4daEMLSZCgZ2Mt7gNm2SRa,192727,4
0.926,0.577,10,-6.805,0,0.367,0.0401,0.0,0.23,0.304,134.383,audio_features,73S4fsK22WH929PLFNYgOj,spotify:track:73S4fsK22WH929PLFNYgOj,https://api.spotify.com/v1/tracks/73S4fsK22WH929PLFNYgOj,https://api.spotify.com/v1/audio-analysis/73S4fsK22WH929PLFNYgOj,174467,4
0.798,0.789,4,-5.114,1,0.26,0.0367,0.0,0.388,0.709,162.055,audio_features,5hzrmJKIS2CHmvlUWkdlYy,spotify:track:5hzrmJKIS2CHmvlUWkdlYy,https://api.spotify.com/v1/tracks/5hzrmJKIS2CHmvlUWkdlYy,https://api.spotify.com/v1/audio-analysis/5hzrmJKIS2CHmvlUWkdlYy,205926,4
0.927,0.619,5,-4.441,0,0.0539,0.0186,0.0,0.104,0.817,117.995,audio_features,6wsqVwoiVH2kde4k4KKAFU,spotify:track:6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/tracks/6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/audio-analysis/6wsqVwoiVH2kde4k4KKAFU,211582,4
0.852,0.735,5,-3.6,1,0.161,0.00209,0.0,0.103,0.572,90.505,audio_features,1llzRvV9QpuNHjPu0rVQSp,spotify:track:1llzRvV9QpuNHjPu0rVQSp,https://api.spotify.com/v1/tracks/1llzRvV9QpuNHjPu0rVQSp,https://api.spotify.com/v1/audio-analysis/1llzRvV9QpuNHjPu0rVQSp,172376,4
0.808,0.789,7,-5.88,0,0.236,0.0517,0.0,0.0819,0.465,136.01,audio_features,7qLr3HMApUbyDkUvgIvHnB,spotify:track:7qLr3HMApUbyDkUvgIvHnB,https://api.spotify.com/v1/tracks/7qLr3HMApUbyDkUvgIvHnB,https://api.spotify.com/v1/audio-analysis/7qLr3HMApUbyDkUvgIvHnB,185333,4
0.457,0.611,7,-6.396,0,0.302,0.478,0.0,0.134,0.246,83.455,audio_features,5997LrlUOfmL0WmiP2lti4,spotify:track:5997LrlUOfmL0WmiP2lti4,https://api.spotify.com/v1/tracks/5997LrlUOfmL0WmiP2lti4,https://api.spotify.com/v1/audio-analysis/5997LrlUOfmL0WmiP2lti4,251699,4
0.621,0.462,11,-6.268,1,0.428,0.472,0.0,0.153,0.267,89.23,audio_features,39fKVWP7D9qAmkM8qjRQoC,spotify:track:39fKVWP7D9qAmkM8qjRQoC,https://api.spotify.com/v1/tracks/39fKVWP7D9qAmkM8qjRQoC,https://api.spotify.com/v1/audio-analysis/39fKVWP7D9qAmkM8qjRQoC,259547,4
0.731,0.667,7,-7.928,0,0.0815,0.134,0.0,0.114,0.485,123.042,audio_features,1xWkeSPhf3bZqHY7Ncz8vp,spotify:track:1xWkeSPhf3bZqHY7Ncz8vp,https://api.spotify.com/v1/tracks/1xWkeSPhf3bZqHY7Ncz8vp,https://api.spotify.com/v1/audio-analysis/1xWkeSPhf3bZqHY7Ncz8vp,144390,4
0.822,0.843,1,-4.308,1,0.0407,0.00699,1.09e-06,0.26,0.631,136.004,audio_features,1OaAlsbTJugFODycEgIDUj,spotify:track:1OaAlsbTJugFODycEgIDUj,https://api.spotify.com/v1/tracks/1OaAlsbTJugFODycEgIDUj,https://api.spotify.com/v1/audio-analysis/1OaAlsbTJugFODycEgIDUj,169412,4
0.745,0.877,5,-2.649,0,0.173,0.455,0.0,0.0732,0.852,120.015,audio_features,0B1xarnfKvUFWUoFdQnooq,spotify:track:0B1xarnfKvUFWUoFdQnooq,https://api.spotify.com/v1/tracks/0B1xarnfKvUFWUoFdQnooq,https://api.spotify.com/v1/audio-analysis/0B1xarnfKvUFWUoFdQnooq,189012,4
